dataset,dim,washout_dec_S,washout_dec_V,slope_S,slope_V
HeartDisease,13,0.6395651575854702,0.9915190037393163,0.24822158238988618,0.9763574398537335
Zoo,16,0.7560584852430555,0.9903773871527778,0.24747425235257617,0.9631897167898494
Lymphography,18,0.9528568769290123,0.916895775462963,0.23352747526643816,0.792427610454706
Parkinsons,22,0.6632649068813131,0.9889854087752525,0.24744758850118717,0.9653251121447425
WDBC,30,0.9319254398148149,0.9173637731481481,0.24210930937463718,0.8945021369262545
Sonar,60,0.8254870023148148,0.9170108478009259,0.24383088504410164,0.9158121673741616
