algorithm,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
mRMR,M-of-n,20,0.014294615384615392,0.991,7,13,0.56947922706604
mRMR,M-of-n,22,0.004615384615384616,1.0,6,13,0.511437177658081
mRMR,M-of-n,23,0.07941384615384599,0.9260000000000002,8,13,0.5198140144348145
mRMR,M-of-n,25,0.004615384615384616,1.0,6,13,0.4927070140838623
mRMR,Parkinsons,0,0.06365034965034966,0.9384615384615385,6,22,0.25131702423095703
mRMR,M-of-n,24,0.09228384615384623,0.9129999999999999,8,13,0.6970632076263428
mRMR,M-of-n,26,0.09954153846153843,0.908,11,13,0.6598329544067383
mRMR,M-of-n,27,0.004615384615384616,1.0,6,13,0.7071568965911865
mRMR,Parkinsons,2,0.08994405594405586,0.9128205128205129,8,22,0.4814300537109375
mRMR,M-of-n,28,0.09954153846153843,0.908,11,13,0.7046921253204346
mRMR,M-of-n,29,0.004615384615384616,1.0,6,13,0.7034420967102051
mRMR,Parkinsons,5,0.07888111888111894,0.923076923076923,6,22,0.2583019733428955
mRMR,Parkinsons,1,0.07562237762237758,0.9282051282051282,10,22,0.56020188331604
mRMR,Parkinsons,6,0.07888111888111894,0.923076923076923,6,22,0.22676563262939453
mRMR,Parkinsons,7,0.09873426573426572,0.9025641025641026,5,22,0.19833922386169434
mRMR,Parkinsons,9,0.06872727272727272,0.9333333333333333,6,22,0.2084641456604004
mRMR,Parkinsons,3,0.09221678321678313,0.9128205128205129,13,22,0.6658601760864258
mRMR,Parkinsons,4,0.08479020979020974,0.9230769230769231,19,22,0.6577620506286621
mRMR,Parkinsons,10,0.08577622377622371,0.917948717948718,10,22,0.351412296295166
mRMR,Parkinsons,12,0.0848671328671329,0.9179487179487179,8,22,0.23858404159545898
mRMR,Parkinsons,14,0.08395804195804189,0.917948717948718,6,22,0.21076607704162598
mRMR,Parkinsons,8,0.071909090909091,0.9333333333333332,13,22,0.4839513301849365
mRMR,Parkinsons,11,0.06637762237762238,0.9384615384615385,12,22,0.4543747901916504
mRMR,Parkinsons,16,0.083958041958042,0.9179487179487179,6,22,0.20297908782958984
mRMR,Parkinsons,13,0.09085314685314688,0.9128205128205128,10,22,0.38255906105041504
mRMR,Parkinsons,17,0.06365034965034966,0.9384615384615385,6,22,0.18541502952575684
mRMR,Parkinsons,18,0.07380419580419577,0.9282051282051282,6,22,0.21617412567138672
mRMR,Parkinsons,23,0.07888111888111883,0.9230769230769231,6,22,0.21034479141235352
mRMR,Parkinsons,15,0.07236363636363635,0.9333333333333333,14,22,0.5233430862426758
mRMR,Parkinsons,25,0.083958041958042,0.9179487179487179,6,22,0.1964559555053711
mRMR,Parkinsons,22,0.06963636363636362,0.9333333333333333,8,22,0.27071285247802734
mRMR,Parkinsons,19,0.07698601398601394,0.9282051282051282,13,22,0.4580848217010498
mRMR,Parkinsons,21,0.082062937062937,0.9230769230769231,13,22,0.45496606826782227
mRMR,Parkinsons,20,0.10237062937062924,0.9025641025641027,13,22,0.47829675674438477
mRMR,Parkinsons,27,0.05857342657342659,0.9435897435897436,6,22,0.1843111515045166
mRMR,Parkinsons,24,0.07698601398601394,0.9282051282051282,13,22,0.4730699062347412
mRMR,Parkinsons,28,0.07979020979020973,0.9230769230769231,8,22,0.2591710090637207
mRMR,Parkinsons,29,0.09039860139860142,0.9128205128205128,9,22,0.39513587951660156
mRMR,SpectEW,2,0.16631389365351626,0.8352201257861636,7,22,0.2639000415802002
