step,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
1_RandomInit_NoRMS,Leukemia,4,0.01890902908348997,0.9857142857142858,1702,3571,1866.391454250086
1_RandomInit_NoRMS,Leukemia,1,0.018889426731207696,0.9857142857142858,1695,3571,1867.1912604584359
1_RandomInit_NoRMS,Leukemia,5,0.017859759171100508,0.9866666666666667,1664,3571,1868.1580909159966
1_RandomInit_NoRMS,Leukemia,7,0.01885302236268347,0.9857142857142858,1682,3571,1867.66264462471
1_RandomInit_NoRMS,Leukemia,2,0.018931431771812567,0.9857142857142858,1710,3571,1868.2155847088434
1_RandomInit_NoRMS,Leukemia,6,0.01793536824418928,0.9866666666666667,1691,3571,1867.7786852079444
1_RandomInit_NoRMS,Leukemia,0,0.018906228747449644,0.9857142857142858,1701,3571,1871.3985243332572
1_RandomInit_NoRMS,Leukemia,3,0.018008176981237724,0.9866666666666667,1717,3571,1879.51846766565
1_RandomInit_NoRMS,Leukemia,8,0.018094987398487795,0.9866666666666667,1748,3571,1383.346141540911
1_RandomInit_NoRMS,Leukemia,9,0.018055782693923245,0.9866666666666667,1734,3571,1383.0693264999427
1_RandomInit_NoRMS,Leukemia,11,0.01893983277993354,0.9857142857142858,1713,3571,1384.159342082683
1_RandomInit_NoRMS,Leukemia,13,0.017834556146737585,0.9866666666666667,1655,3571,1384.0190779580735
1_RandomInit_NoRMS,Leukemia,10,0.017980173620834476,0.9866666666666667,1707,3571,1385.528808250092
1_RandomInit_NoRMS,Leukemia,12,0.0187998159779173,0.9857142857142858,1663,3571,1385.4007484577596
1_RandomInit_NoRMS,Leukemia,14,0.019015441853022313,0.9857142857142858,1740,3571,1394.6243403339759
1_RandomInit_NoRMS,Leukemia,15,0.01881661799415925,0.9857142857142858,1669,3571,1389.8774360003881
1_RandomInit_NoRMS,Leukemia,16,0.01790736488378603,0.9866666666666667,1681,3571,1665.0035892501473
1_RandomInit_NoRMS,Leukemia,17,0.018886626395167368,0.9857142857142858,1694,3571,1666.9757017497905
1_RandomInit_NoRMS,Leukemia,18,0.018791414969796326,0.9857142857142858,1660,3571,1665.9344629165716
1_RandomInit_NoRMS,Leukemia,23,0.017966171940632852,0.9866666666666667,1702,3571,1664.037147208117
1_RandomInit_NoRMS,Leukemia,19,0.018906228747449644,0.9857142857142858,1701,3571,1681.6245601656847
1_RandomInit_NoRMS,Leukemia,21,0.018925831099731918,0.9857142857142858,1708,3571,1681.8554867920466
1_RandomInit_NoRMS,Leukemia,20,0.018855822698723795,0.9857142857142858,1683,3571,1683.068130041007
1_RandomInit_NoRMS,Leukemia,22,0.018878225387046393,0.9857142857142858,1691,3571,1679.351918417029
1_RandomInit_NoRMS,ColonCancer,1,0.19660384615384602,0.8064102564102565,990,2000,1510.624265416991
1_RandomInit_NoRMS,Leukemia,25,0.018970636476377114,0.9857142857142858,1724,3571,1540.9253892917186
1_RandomInit_NoRMS,ColonCancer,0,0.14975230769230774,0.8538461538461538,1012,2000,1525.058136250358
1_RandomInit_NoRMS,Leukemia,27,0.018889426731207696,0.9857142857142858,1695,3571,1544.8813679995947
1_RandomInit_NoRMS,Leukemia,26,0.01885302236268347,0.9857142857142858,1682,3571,1575.358139124699
1_RandomInit_NoRMS,Leukemia,24,0.018911829419530294,0.9857142857142858,1703,3571,1584.9531744578853
1_RandomInit_NoRMS,Leukemia,28,0.018895027403288345,0.9857142857142858,1697,3571,1602.8123075831681
1_RandomInit_NoRMS,Leukemia,29,0.018788614633756,0.9857142857142858,1659,3571,1638.3370980839245
1_RandomInit_NoRMS,ColonCancer,2,0.11788153846153838,0.885897435897436,984,2000,1497.5908488328569
1_RandomInit_NoRMS,ColonCancer,3,0.1788146153846154,0.8243589743589743,986,2000,1497.4612506669946
1_RandomInit_NoRMS,ColonCancer,4,0.1342215384615383,0.8692307692307694,952,2000,1496.7315272921696
1_RandomInit_NoRMS,ColonCancer,5,0.19528961538461537,0.8076923076923077,981,2000,1496.7374854171649
1_RandomInit_NoRMS,ColonCancer,7,0.13055884615384625,0.873076923076923,981,2000,1490.585844582878
1_RandomInit_NoRMS,ColonCancer,6,0.14971230769230773,0.8538461538461538,1004,2000,1496.3037616247311
1_RandomInit_NoRMS,ColonCancer,8,0.14705384615384595,0.8564102564102566,980,2000,1525.4981217500754
1_RandomInit_NoRMS,ColonCancer,9,0.18016884615384607,0.8230769230769232,1003,2000,1498.2906245840713
1_RandomInit_NoRMS,ColonCancer,10,0.1510315384615385,0.8525641025641025,1014,2000,1527.7351524583064
1_RandomInit_NoRMS,ColonCancer,12,0.16632730769230766,0.8371794871794872,1027,2000,1527.3762082499452
1_RandomInit_NoRMS,ColonCancer,11,0.14689884615384619,0.8564102564102564,949,2000,1529.5189685407095
1_RandomInit_NoRMS,ColonCancer,13,0.1787146153846153,0.8243589743589744,966,2000,1530.3617522502318
1_RandomInit_NoRMS,ColonCancer,14,0.1291496153846155,0.8743589743589743,953,2000,1528.038470083382
1_RandomInit_NoRMS,ColonCancer,15,0.14815307692307697,0.8551282051282051,946,2000,1533.2056217496283
1_RandomInit_NoRMS,ColonCancer,16,0.16219461538461538,0.841025641025641,962,2000,1542.8268463332206
1_RandomInit_NoRMS,ColonCancer,17,0.1609403846153846,0.8423076923076923,965,2000,1556.357177332975
1_RandomInit_NoRMS,ColonCancer,18,0.16623730769230766,0.8371794871794872,1009,2000,1738.8566053751856
1_RandomInit_NoRMS,ColonCancer,19,0.1800688461538462,0.823076923076923,983,2000,1736.1008000830188
1_RandomInit_NoRMS,ColonCancer,20,0.1646980769230769,0.8384615384615385,955,2000,1738.8392485408112
1_RandomInit_NoRMS,ColonCancer,21,0.13165807692307702,0.8717948717948717,947,2000,1734.8194315829314
1_RandomInit_NoRMS,ColonCancer,23,0.22811461538461536,0.7743589743589744,946,2000,1732.1404262077995
1_RandomInit_NoRMS,ColonCancer,22,0.13192807692307681,0.8717948717948719,1001,2000,1754.009342208039
1_RandomInit_NoRMS,ColonCancer,24,0.16365384615384615,0.8397435897435898,1000,2000,1717.788655540906
1_RandomInit_NoRMS,ColonCancer,25,0.11550807692307685,0.8884615384615385,1017,2000,1709.6643837923184
1_RandomInit_NoRMS,ColonCancer,26,0.14587961538461544,0.8576923076923076,999,2000,1493.0836316668428
1_RandomInit_NoRMS,ColonCancer,27,0.1508965384615385,0.8525641025641025,987,2000,1492.7820435827598
1_RandomInit_NoRMS,Sonar,0,0.12243205574912894,0.8803716608594657,24,60,1474.1288746669888
1_RandomInit_NoRMS,ColonCancer,29,0.1622796153846155,0.8410256410256409,979,2000,1495.120176833123
1_RandomInit_NoRMS,Sonar,1,0.11311846689895477,0.8897793263646921,24,60,1474.5251607089303
1_RandomInit_NoRMS,ColonCancer,28,0.21434307692307694,0.7884615384615384,984,2000,1529.6603432502598
1_RandomInit_NoRMS,Sonar,2,0.11340011614401856,0.8896631823461092,25,60,1482.5773279583082
1_RandomInit_NoRMS,Sonar,3,0.09952729384436701,0.9041811846689896,28,60,1489.2991520413198
