dataset,n_samples,n_features,n_boot,top_k,mean_spearman_between_resamples,mean_jaccard_topk_between_resamples,mean_std_rho_per_feature
ColonCancer,62,2000,30,50,0.2766667562188976,0.08767181158754225,0.11834710509513653
Leukemia,72,3571,30,50,0.35816514444329256,0.2510580242389291,0.11872063416381501
Sonar,208,60,30,50,0.2598880276449716,0.7434105216272888,0.06293470113067563
WDBC,569,30,30,30,0.9410450948052111,1.0,0.03702942190678557
Zoo,101,16,30,16,0.8881000676132516,1.0,0.06767762021827203
