config_name,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
RG-SCSO,Zoo,7,0.022453571428571403,0.9804761904761905,5,16,405.6348589169793
RG-SCSO,Zoo,6,0.023549999999999908,0.9800000000000001,6,16,407.6587437079288
RG-SCSO,Zoo,0,0.025424999999999906,0.9800000000000001,9,16,408.1219148747623
RG-SCSO,Zoo,5,0.02417499999999991,0.9800000000000001,7,16,408.076909375377
RG-SCSO,Zoo,3,0.0249535714285714,0.9804761904761905,9,16,408.3740975842811
RG-SCSO,Zoo,1,0.025424999999999906,0.9800000000000001,9,16,408.75909658288583
RG-SCSO,Zoo,4,0.022453571428571514,0.9804761904761904,5,16,409.3193117501214
RG-SCSO,Zoo,2,0.01677500000000001,0.99,11,16,409.398468375206
RG-SCSO,Zoo,8,0.022924999999999907,0.9800000000000001,5,16,511.69897991698235
RG-SCSO,Zoo,9,0.022924999999999907,0.9800000000000001,5,16,511.77153954235837
RG-SCSO,Zoo,12,0.022924999999999907,0.9800000000000001,5,16,511.38922270806506
RG-SCSO,Zoo,10,0.02479999999999991,0.9800000000000001,8,16,512.1932887909934
RG-SCSO,Zoo,11,0.022924999999999907,0.9800000000000001,5,16,512.1518362076022
RG-SCSO,Zoo,13,0.026049999999999907,0.9800000000000001,10,16,512.2092994586565
RG-SCSO,Zoo,14,0.022924999999999907,0.9800000000000001,5,16,513.281409167219
RG-SCSO,Zoo,15,0.026049999999999907,0.9800000000000001,10,16,516.271281582769
RG-SCSO,Zoo,16,0.02417499999999991,0.9800000000000001,7,16,527.9682774590328
RG-SCSO,Zoo,17,0.022924999999999907,0.9800000000000001,5,16,527.6711830417626
RG-SCSO,Zoo,21,0.0323535714285713,0.9704761904761906,5,16,527.0667829997838
RG-SCSO,Zoo,19,0.0329785714285713,0.9704761904761906,6,16,528.6336725000292
RG-SCSO,Zoo,18,0.026049999999999907,0.9800000000000001,10,16,529.5152544169687
RG-SCSO,Zoo,22,0.022924999999999907,0.9800000000000001,5,16,528.164174458012
RG-SCSO,Zoo,20,0.01490000000000001,0.99,8,16,530.717431792058
RG-SCSO,Zoo,23,0.026049999999999907,0.9800000000000001,10,16,529.3013044996187
RG-SCSO,Sonar,0,0.11784436701509873,0.8846689895470383,22,60,448.4488136670552
RG-SCSO,Sonar,1,0.10824912891986067,0.8941927990708478,21,60,453.5904737501405
RG-SCSO,Zoo,24,0.025424999999999906,0.9800000000000001,9,16,543.5628962498158
RG-SCSO,Zoo,27,0.022453571428571403,0.9804761904761905,5,16,541.8076979997568
RG-SCSO,Zoo,25,0.01615000000000001,0.99,10,16,543.7899993341416
RG-SCSO,Zoo,26,0.02417499999999991,0.9800000000000001,7,16,544.9839282920584
RG-SCSO,Zoo,28,0.02417499999999991,0.9800000000000001,7,16,544.3136960412376
RG-SCSO,Zoo,29,0.01615000000000001,0.99,10,16,546.3720682081766
RG-SCSO,Sonar,3,0.09860220673635317,0.9036004645760742,19,60,433.0974715841003
RG-SCSO,Sonar,2,0.1120150987224158,0.8895470383275261,16,60,473.4060043329373
RG-SCSO,Sonar,5,0.10785249709639953,0.8944250871080139,20,60,430.5006108749658
RG-SCSO,Sonar,7,0.10313821138211383,0.8991869918699187,20,60,433.46519104065374
RG-SCSO,Sonar,6,0.09793554006968651,0.9036004645760742,15,60,447.8201942499727
RG-SCSO,Sonar,8,0.0981538908246226,0.9037166085946573,17,60,449.44705195818096
RG-SCSO,Sonar,9,0.1121416957026714,0.8890824622531939,14,60,450.46103208279237
RG-SCSO,Sonar,4,0.11651103368176541,0.8846689895470383,14,60,502.2383814160712
RG-SCSO,Sonar,10,0.10313821138211383,0.8991869918699187,20,60,366.26161304069683
RG-SCSO,Sonar,11,0.10740418118466907,0.8945412311265969,18,60,343.43632475007325
RG-SCSO,Sonar,15,0.08859872241579561,0.913704994192799,19,60,340.9457548749633
RG-SCSO,Sonar,14,0.1120783972125436,0.88931475029036,15,60,358.88456074986607
RG-SCSO,Sonar,16,0.11313008130081303,0.8894308943089431,22,60,357.8864234997891
RG-SCSO,Sonar,13,0.11218176538908246,0.8895470383275261,17,60,379.95264391601086
RG-SCSO,Sonar,12,0.10753077816492457,0.8940766550522647,16,60,402.2846435410902
RG-SCSO,Sonar,17,0.11496341463414637,0.8894308943089431,33,60,333.74875900009647
RG-SCSO,Sonar,18,0.09347967479674797,0.9089430894308943,20,60,330.0486267497763
RG-SCSO,Sonar,19,0.1255946573751452,0.8754936120789779,14,60,379.00484937475994
RG-SCSO,Sonar,20,0.10841579558652734,0.8941927990708478,22,60,328.6772566670552
RG-SCSO,Sonar,21,0.1137049941927992,0.8888501742160277,22,60,325.19774504192173
RG-SCSO,Sonar,22,0.11774099883855986,0.8844367015098722,20,60,329.92118270881474
RG-SCSO,Sonar,23,0.11324506387921027,0.88931475029036,22,60,333.929873125162
RG-SCSO,Sonar,25,0.11206678281068522,0.8896631823461092,17,60,324.4962334581651
RG-SCSO,Sonar,24,0.09836062717770035,0.9041811846689896,21,60,348.4122139578685
RG-SCSO,Sonar,26,0.1073008130081301,0.8943089430894309,16,60,337.0589626673609
RG-SCSO,Sonar,27,0.09381300813008131,0.9089430894308943,22,60,318.58744074963033
RG-SCSO,Sonar,28,0.11694773519163759,0.8849012775842044,18,60,321.88676729099825
RG-SCSO,Sonar,29,0.1124518002322881,0.8897793263646921,20,60,317.8811937919818
RG-SCSO,WDBC,1,0.026260984319205004,0.9771774569166279,11,30,780.4356120000593
RG-SCSO,WDBC,0,0.027997826424468276,0.9754230709517155,11,30,785.5869452082552
RG-SCSO,WDBC,2,0.023120633442012123,0.9806862288464524,12,30,783.5081196674146
RG-SCSO,WDBC,3,0.021368421052631523,0.9824561403508772,12,30,778.4488267498091
RG-SCSO,WDBC,5,0.02653951249805939,0.9789163173420276,17,30,711.5811916254461
RG-SCSO,WDBC,4,0.026943021269989112,0.9771619313771154,13,30,780.7632938749157
RG-SCSO,WDBC,7,0.024151374010246886,0.9806551777674274,15,30,741.5930629996583
RG-SCSO,WDBC,6,0.024175438596491294,0.9789473684210526,10,30,780.1825891658664
RG-SCSO,WDBC,11,0.02306582828753317,0.982425089271852,17,30,681.5292314998806
RG-SCSO,WDBC,8,0.027609687936655778,0.9771619313771154,15,30,777.726857832633
RG-SCSO,WDBC,9,0.02378730010867879,0.9806862288464524,14,30,783.6554684168659
RG-SCSO,WDBC,10,0.02523691973296082,0.9788852662630025,13,30,773.7474189996719
RG-SCSO,WDBC,12,0.025958391554106657,0.9771464058376027,10,30,784.4286093330011
RG-SCSO,WDBC,13,0.023469337059462674,0.9806707033069401,13,30,756.9467600001954
RG-SCSO,WDBC,14,0.025260984319205006,0.9771774569166279,8,30,783.016138582956
RG-SCSO,WDBC,15,0.02136842105263174,0.982456140350877,12,30,768.9108046661131
RG-SCSO,WDBC,16,0.024857475547275285,0.9789318428815401,12,30,786.6706563336775
RG-SCSO,WDBC,17,0.024206179164725835,0.9789163173420278,10,30,782.2972611249425
RG-SCSO,WDBC,18,0.022787300108678788,0.9806862288464524,11,30,789.6823927080259
RG-SCSO,WDBC,19,0.021383791336748958,0.9824406148113647,12,30,790.3282571672462
RG-SCSO,WDBC,20,0.022469337059462784,0.98067070330694,10,30,782.0001350841485
RG-SCSO,WDBC,21,0.022802670392796116,0.98067070330694,11,30,784.9239492081106
RG-SCSO,WDBC,22,0.028059307560937913,0.9753609687936654,11,30,791.4230470843613
RG-SCSO,WDBC,23,0.02248470734358022,0.9806551777674274,10,30,788.2564239581116
RG-SCSO,ColonCancer,0,0.11570653846153839,0.885897435897436,549,2000,276.67164999991655
RG-SCSO,ColonCancer,1,0.16157384615384615,0.8397435897435898,584,2000,275.5070834159851
RG-SCSO,WDBC,24,0.024554882782176712,0.9789007918025151,11,30,814.5524093750864
RG-SCSO,WDBC,25,0.02248470734358022,0.9806551777674274,10,30,792.8107740003616
RG-SCSO,WDBC,27,0.024206179164725835,0.9789163173420278,10,30,778.0764596671797
RG-SCSO,WDBC,26,0.02419080888060862,0.9789318428815401,10,30,808.3801979576237
RG-SCSO,ColonCancer,2,0.08401076923076928,0.9179487179487179,556,2000,274.6770035843365
RG-SCSO,ColonCancer,3,0.12850884615384625,0.873076923076923,571,2000,276.3088470418006
RG-SCSO,WDBC,29,0.025958391554106657,0.9771464058376027,10,30,802.5770000829361
RG-SCSO,WDBC,28,0.02348470734358022,0.9806551777674274,13,30,808.9342152909376
RG-SCSO,ColonCancer,4,0.10053576923076922,0.9012820512820513,561,2000,282.6260702498257
RG-SCSO,ColonCancer,5,0.14621307692307695,0.8551282051282051,558,2000,283.07223150040954
RG-SCSO,ColonCancer,6,0.11465230769230762,0.8871794871794872,592,2000,282.6057682079263
RG-SCSO,ColonCancer,7,0.09545384615384615,0.9064102564102564,560,2000,283.5640047919005
RG-SCSO,ColonCancer,8,0.12830384615384627,0.873076923076923,530,2000,282.55607754178345
RG-SCSO,ColonCancer,9,0.1158365384615384,0.885897435897436,575,2000,284.5708416667767
RG-SCSO,ColonCancer,11,0.11325807692307686,0.8884615384615385,567,2000,291.151121375151
RG-SCSO,ColonCancer,10,0.1157715384615384,0.885897435897436,562,2000,294.8034663326107
RG-SCSO,ColonCancer,12,0.14622807692307696,0.8551282051282051,561,2000,294.1401875000447
RG-SCSO,ColonCancer,13,0.13088730769230777,0.8705128205128204,539,2000,290.67188841616735
RG-SCSO,ColonCancer,14,0.09546384615384616,0.9064102564102564,562,2000,291.76196058420464
RG-SCSO,ColonCancer,15,0.11434730769230762,0.8871794871794872,531,2000,289.239329374861
RG-SCSO,ColonCancer,16,0.11319807692307686,0.8884615384615385,555,2000,292.4964594170451
RG-SCSO,ColonCancer,17,0.09809730769230769,0.9038461538461539,581,2000,290.81480687484145
RG-SCSO,ColonCancer,18,0.1296380769230768,0.8717948717948719,543,2000,290.19468262512237
RG-SCSO,ColonCancer,19,0.14764730769230774,0.8538461538461538,591,2000,292.0494857500307
RG-SCSO,ColonCancer,20,0.13103730769230776,0.8705128205128204,569,2000,292.07127270800993
RG-SCSO,ColonCancer,22,0.11454230769230762,0.8871794871794872,570,2000,287.71704299980775
RG-SCSO,ColonCancer,21,0.11314307692307686,0.8884615384615385,544,2000,293.4729974172078
RG-SCSO,ColonCancer,23,0.1627930769230769,0.8384615384615385,574,2000,288.90049262484536
RG-SCSO,ColonCancer,24,0.09929653846153845,0.9025641025641026,567,2000,292.88958166725934
RG-SCSO,ColonCancer,25,0.09804230769230769,0.9038461538461539,570,2000,292.21474191732705
RG-SCSO,ColonCancer,26,0.09796730769230769,0.9038461538461539,555,2000,292.7872502077371
RG-SCSO,ColonCancer,27,0.11471230769230761,0.8871794871794872,604,2000,294.68677337514237
RG-SCSO,ColonCancer,28,0.16387230769230765,0.8371794871794872,536,2000,295.83046716684476
RG-SCSO,ColonCancer,29,0.1298080769230768,0.8717948717948719,577,2000,297.996481416747
RG-SCSO,Leukemia,0,0.01673316798015757,0.9857142857142858,925,3571,362.4047272922471
RG-SCSO,Leukemia,1,0.016831179741568936,0.9857142857142858,960,3571,359.64838316710666
RG-SCSO,Leukemia,2,0.016772372684722116,0.9857142857142858,939,3571,361.1433491660282
RG-SCSO,Leukemia,3,0.0158071128535424,0.9866666666666667,931,3571,362.084860582836
RG-SCSO,Leukemia,4,0.016679961595391396,0.9857142857142858,906,3571,363.4337702090852
RG-SCSO,Leukemia,5,0.015790310837300453,0.9866666666666667,925,3571,365.9473074581474
RG-SCSO,Leukemia,6,0.015826715205824675,0.9866666666666667,938,3571,365.6049296660349
RG-SCSO,Leukemia,7,0.016833980077609265,0.9857142857142858,961,3571,362.860658749938
RG-SCSO,Leukemia,8,0.015930327639316694,0.9866666666666667,975,3571,363.0621679169126
RG-SCSO,Leukemia,9,0.015706300756090707,0.9866666666666667,895,3571,363.8181015420705
RG-SCSO,Leukemia,10,0.015891122934752144,0.9866666666666667,961,3571,360.82838870817795
RG-SCSO,Leukemia,11,0.016766772012641467,0.9857142857142858,937,3571,361.9846020406112
