sweep,value,config_tag,dataset,run_id,fitness,accuracy,n_selected_features,runtime_seconds
umr_k,12.0,final,Sonar,7,0.10313821138211383,0.8991869918699187,20,352.83783287508413
umr_k,12.0,final,Sonar,8,0.0981538908246226,0.9037166085946573,17,336.86514183320105
umr_k,12.0,final,Sonar,9,0.1128600464576075,0.8891986062717769,19,361.831707125064
umr_k,12.0,final,ColonCancer,0,0.11569653846153839,0.885897435897436,547,420.5263335001655
umr_k,12.0,final,ColonCancer,1,0.16156384615384614,0.8397435897435898,582,421.1716273750644
umr_k,12.0,final,ColonCancer,2,0.08400576923076927,0.9179487179487179,555,422.1747391251847
umr_k,12.0,final,ColonCancer,3,0.12849884615384624,0.873076923076923,569,423.2634131249506
umr_k,12.0,final,ColonCancer,4,0.10053576923076922,0.9012820512820513,561,419.635364666814
umr_k,12.0,final,ColonCancer,5,0.14621307692307695,0.8551282051282051,558,415.4485360418912
umr_k,16.0,final,Zoo,0,0.025424999999999906,0.9800000000000001,9,152.6945874169469
umr_k,16.0,final,Zoo,1,0.02479999999999991,0.9800000000000001,8,154.80294466693886
umr_k,16.0,final,Zoo,2,0.01615000000000001,0.99,10,160.5002305000089
umr_k,16.0,final,Zoo,3,0.025578571428571402,0.9804761904761905,10,162.01756524993107
umr_k,12.0,final,ColonCancer,6,0.11464730769230762,0.8871794871794872,591,390.77628962509334
umr_k,12.0,final,ColonCancer,7,0.09663807692307691,0.9051282051282051,543,385.69490791717544
umr_k,16.0,final,Zoo,4,0.022453571428571514,0.9804761904761904,5,169.75367350014858
umr_k,12.0,final,ColonCancer,8,0.12829884615384626,0.873076923076923,529,380.1945480830036
umr_k,16.0,final,Zoo,5,0.02417499999999991,0.9800000000000001,7,170.5822892920114
umr_k,12.0,final,ColonCancer,9,0.11462730769230761,0.8871794871794872,587,380.23096354096197
umr_k,16.0,final,Zoo,6,0.022924999999999907,0.9800000000000001,5,170.5903041670099
umr_k,16.0,final,Zoo,7,0.025578571428571402,0.9804761904761905,10,171.3966604580637
umr_k,16.0,final,Zoo,8,0.022924999999999907,0.9800000000000001,5,169.76246229209937
umr_k,16.0,final,Zoo,9,0.03282500000000003,0.97,5,165.3436886658892
umr_k,16.0,final,Sonar,4,0.11651103368176541,0.8846689895470383,14,279.65927195805125
umr_k,16.0,final,Sonar,1,0.11156678281068523,0.8896631823461092,14,320.92937900009565
umr_k,16.0,final,Sonar,2,0.11661440185830425,0.8849012775842044,16,335.2793126250617
umr_k,16.0,final,Sonar,0,0.11784436701509873,0.8846689895470383,22,351.14432270801626
umr_k,16.0,final,Sonar,3,0.08950696864111511,0.9131242740998837,21,358.8745429168921
umr_k,16.0,final,Sonar,5,0.11740766550522654,0.8844367015098722,18,358.38902316684835
umr_k,16.0,final,Sonar,7,0.11644773519163759,0.8849012775842044,15,331.0966028338298
umr_k,16.0,final,Sonar,6,0.0987171893147504,0.9034843205574912,19,359.5019697500393
umr_k,16.0,final,Sonar,8,0.0981538908246226,0.9037166085946573,17,356.13971504196525
umr_k,16.0,final,Sonar,9,0.1128600464576075,0.8891986062717769,19,360.2827035828959
umr_k,16.0,final,ColonCancer,0,0.11569653846153839,0.885897435897436,547,435.21727899997495
umr_k,16.0,final,ColonCancer,1,0.16155884615384614,0.8397435897435898,581,434.3628145828843
umr_k,16.0,final,ColonCancer,2,0.08400576923076927,0.9179487179487179,555,435.5798116668593
umr_k,16.0,final,ColonCancer,3,0.12848884615384626,0.873076923076923,567,433.45343116717413
umr_k,16.0,final,ColonCancer,4,0.10053076923076922,0.9012820512820513,560,430.2635860829614
umr_k,16.0,final,ColonCancer,5,0.14621307692307695,0.8551282051282051,558,431.21318383305334
ema_lambda,0.7,orl,Zoo,0,0.025424999999999906,0.9800000000000001,9,151.45467441692017
ema_lambda,0.7,orl,Zoo,1,0.01615000000000001,0.99,10,157.71936304098926
