algorithm,wrapper,prior,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
RG-SCSO-MI,KNN,mi,Zoo,0,0.025424999999999906,0.9800000000000001,9,16,166.43652308289893
RG-SCSO-MI,KNN,mi,Zoo,2,0.01677500000000001,0.99,11,16,166.646773833083
RG-SCSO-MI,KNN,mi,Zoo,5,0.02417499999999991,0.9800000000000001,7,16,166.70470412494615
RG-SCSO-MI,KNN,mi,Zoo,7,0.022453571428571403,0.9804761904761905,5,16,167.08057891600765
RG-SCSO-MI,KNN,mi,Zoo,3,0.0249535714285714,0.9804761904761905,9,16,167.1299106660299
RG-SCSO-MI,KNN,mi,Zoo,6,0.023549999999999908,0.9800000000000001,6,16,167.42411504196934
RG-SCSO-MI,KNN,mi,Zoo,1,0.025424999999999906,0.9800000000000001,9,16,167.6236880829092
RG-SCSO-MI,KNN,mi,Zoo,4,0.022453571428571514,0.9804761904761904,5,16,167.61264229216613
RG-SCSO-MI,KNN,mi,Zoo,9,0.022924999999999907,0.9800000000000001,5,16,166.06437708297744
RG-SCSO-MI,KNN,mi,Zoo,12,0.022924999999999907,0.9800000000000001,5,16,165.6895437920466
RG-SCSO-MI,KNN,mi,Zoo,8,0.022924999999999907,0.9800000000000001,5,16,166.67784191598184
RG-SCSO-MI,KNN,mi,Zoo,14,0.022924999999999907,0.9800000000000001,5,16,165.54991195793264
RG-SCSO-MI,KNN,mi,Zoo,13,0.026049999999999907,0.9800000000000001,10,16,165.83385729207657
RG-SCSO-MI,KNN,mi,Zoo,10,0.02479999999999991,0.9800000000000001,8,16,167.17611237498932
RG-SCSO-MI,KNN,mi,Zoo,15,0.026049999999999907,0.9800000000000001,10,16,167.17929920810275
RG-SCSO-MI,KNN,mi,Zoo,11,0.022924999999999907,0.9800000000000001,5,16,167.8946072498802
RG-SCSO-MI,KNN,mi,Zoo,18,0.026049999999999907,0.9800000000000001,10,16,164.59727812511846
RG-SCSO-MI,KNN,mi,Zoo,17,0.022924999999999907,0.9800000000000001,5,16,165.30339333298616
RG-SCSO-MI,KNN,mi,Zoo,16,0.02417499999999991,0.9800000000000001,7,16,166.40657808282413
RG-SCSO-MI,KNN,mi,Zoo,20,0.01490000000000001,0.99,8,16,166.08158462494612
RG-SCSO-MI,KNN,mi,Zoo,19,0.0329785714285713,0.9704761904761906,6,16,166.8187806669157
RG-SCSO-MI,KNN,mi,Zoo,21,0.0323535714285713,0.9704761904761906,5,16,166.25253466702998
RG-SCSO-MI,KNN,mi,Zoo,22,0.022924999999999907,0.9800000000000001,5,16,167.61594662512653
RG-SCSO-MI,KNN,mi,Zoo,23,0.026049999999999907,0.9800000000000001,10,16,167.47773495898582
RG-SCSO-MI,KNN,mi,Zoo,24,0.025424999999999906,0.9800000000000001,9,16,151.13362737488933
RG-SCSO-MI,KNN,mi,Zoo,25,0.01615000000000001,0.99,10,16,150.9105502499733
RG-SCSO-MI,KNN,mi,Zoo,26,0.02417499999999991,0.9800000000000001,7,16,150.09024891606532
RG-SCSO-MI,KNN,mi,Zoo,27,0.022453571428571403,0.9804761904761905,5,16,150.6712130829692
RG-SCSO-MI,KNN,mi,Zoo,29,0.01615000000000001,0.99,10,16,150.4539250419475
RG-SCSO-MI,KNN,mi,Zoo,28,0.02417499999999991,0.9800000000000001,7,16,150.95902558299713
RG-SCSO-MI,KNN,mi,Sonar,1,0.10824912891986067,0.8941927990708478,21,60,314.57881083292887
RG-SCSO-MI,KNN,mi,Sonar,0,0.11784436701509873,0.8846689895470383,22,60,319.5500508749392
RG-SCSO-MI,KNN,mi,Sonar,4,0.11651103368176541,0.8846689895470383,14,60,278.5257961251773
RG-SCSO-MI,KNN,mi,Sonar,2,0.1120150987224158,0.8895470383275261,16,60,312.9035127500538
RG-SCSO-MI,KNN,mi,Sonar,6,0.09793554006968651,0.9036004645760742,15,60,330.8647292498499
RG-SCSO-MI,KNN,mi,Sonar,7,0.10313821138211383,0.8991869918699187,20,60,342.5447329999879
RG-SCSO-MI,KNN,mi,Sonar,5,0.10785249709639953,0.8944250871080139,20,60,344.42177062504925
RG-SCSO-MI,KNN,mi,Sonar,3,0.09860220673635317,0.9036004645760742,19,60,346.1383137500379
RG-SCSO-MI,KNN,mi,Sonar,8,0.0981538908246226,0.9037166085946573,17,60,327.9211383750662
RG-SCSO-MI,KNN,mi,Sonar,9,0.1121416957026714,0.8890824622531939,14,60,328.85942450002767
RG-SCSO-MI,KNN,mi,Sonar,10,0.10313821138211383,0.8991869918699187,20,60,324.0750255410094
RG-SCSO-MI,KNN,mi,Sonar,12,0.10753077816492457,0.8940766550522647,16,60,278.4485650418792
RG-SCSO-MI,KNN,mi,Sonar,13,0.11218176538908246,0.8895470383275261,17,60,298.38230912503786
RG-SCSO-MI,KNN,mi,Sonar,11,0.10740418118466907,0.8945412311265969,18,60,345.6812719157897
RG-SCSO-MI,KNN,mi,Sonar,14,0.1120783972125436,0.88931475029036,15,60,315.93595854216255
RG-SCSO-MI,KNN,mi,Sonar,15,0.08859872241579561,0.913704994192799,19,60,333.45041766692884
RG-SCSO-MI,KNN,mi,Sonar,16,0.11313008130081303,0.8894308943089431,22,60,318.03668433381245
RG-SCSO-MI,KNN,mi,Sonar,17,0.11496341463414637,0.8894308943089431,33,60,336.3203284589108
RG-SCSO-MI,KNN,mi,Sonar,19,0.1255946573751452,0.8754936120789779,14,60,281.10846137511544
RG-SCSO-MI,KNN,mi,Sonar,18,0.09347967479674797,0.9089430894308943,20,60,329.0086152080912
RG-SCSO-MI,KNN,mi,Sonar,20,0.10841579558652734,0.8941927990708478,22,60,324.8631286250893
RG-SCSO-MI,KNN,mi,Sonar,22,0.11774099883855986,0.8844367015098722,20,60,324.63805216690525
RG-SCSO-MI,KNN,mi,Sonar,21,0.1137049941927992,0.8888501742160277,22,60,328.91295575001277
RG-SCSO-MI,KNN,mi,Sonar,23,0.11324506387921027,0.88931475029036,22,60,320.69584345887415
RG-SCSO-MI,KNN,mi,Sonar,25,0.11206678281068522,0.8896631823461092,17,60,323.11317954119295
RG-SCSO-MI,KNN,mi,Sonar,24,0.09836062717770035,0.9041811846689896,21,60,351.1542526250705
RG-SCSO-MI,KNN,mi,Sonar,26,0.1073008130081301,0.8943089430894309,16,60,301.0786302499473
RG-SCSO-MI,KNN,mi,Sonar,27,0.09381300813008131,0.9089430894308943,22,60,319.26712070801295
RG-SCSO-MI,KNN,mi,Sonar,28,0.11694773519163759,0.8849012775842044,18,60,316.5024237080943
RG-SCSO-MI,KNN,mi,WDBC,1,0.026260984319205004,0.9771774569166279,11,30,292.34815595904365
RG-SCSO-MI,KNN,mi,Sonar,29,0.1124518002322881,0.8897793263646921,20,60,325.19211425003596
