beta,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
0.0,Zoo,6,0.019799999999999908,0.9800000000000001,6,16,177.98056741710752
0.0,Zoo,0,0.019799999999999908,0.9800000000000001,10,16,178.1284129577689
0.0,Zoo,2,0.00990000000000001,0.99,10,16,178.3148741251789
0.0,Zoo,5,0.019799999999999908,0.9800000000000001,10,16,178.36252508405596
0.0,Zoo,3,0.019328571428571403,0.9804761904761905,9,16,178.9330703751184
0.0,Zoo,1,0.019799999999999908,0.9800000000000001,10,16,179.23877433408052
0.0,Zoo,4,0.019328571428571514,0.9804761904761904,5,16,180.18411449994892
0.0,Zoo,7,0.019328571428571403,0.9804761904761905,5,16,180.1365425423719
0.0,Zoo,11,0.019799999999999908,0.9800000000000001,7,16,188.6120850839652
0.0,Zoo,9,0.00990000000000001,0.99,10,16,190.1963505409658
0.0,Zoo,12,0.019328571428571514,0.9804761904761904,10,16,189.4771132497117
0.0,Zoo,8,0.019799999999999908,0.9800000000000001,7,16,190.61399425007403
0.0,Zoo,15,0.019328571428571403,0.9804761904761905,5,16,189.30014262488112
0.0,Zoo,10,0.019799999999999908,0.9800000000000001,11,16,191.54519541701302
0.0,Zoo,13,0.019799999999999908,0.9800000000000001,12,16,191.26853229198605
0.0,Zoo,14,0.019799999999999908,0.9800000000000001,5,16,191.665278499946
0.0,Zoo,16,0.019799999999999908,0.9800000000000001,11,16,186.31305241724476
0.0,Zoo,21,0.019799999999999908,0.9800000000000001,5,16,184.21484149992466
0.0,Zoo,18,0.019328571428571514,0.9804761904761904,10,16,186.68157370900735
0.0,Zoo,19,0.029228571428571302,0.9704761904761906,9,16,187.74382208287716
0.0,Zoo,20,0.019328571428571403,0.9804761904761905,11,16,186.91984916711226
0.0,Zoo,17,0.019799999999999908,0.9800000000000001,11,16,188.38079329114407
0.0,Zoo,22,0.019799999999999908,0.9800000000000001,9,16,187.6473612501286
0.0,Zoo,23,0.019799999999999908,0.9800000000000001,10,16,186.92311450000852
