config_name,dataset,run_id,fitness,accuracy,n_selected_features,runtime_seconds
Full,Leukemia,4,0.016724766972036596,0.9857142857142858,922,456.26381412509363
Full,Leukemia,6,0.01586591991038922,0.9866666666666667,952,456.3373094580602
Full,Leukemia,1,0.01673316798015757,0.9857142857142858,925,456.84283095796127
Full,Leukemia,5,0.015790310837300453,0.9866666666666667,925,457.25081387499813
Full,Leukemia,3,0.015837916549985974,0.9866666666666667,942,457.63358124997467
Full,Leukemia,2,0.016772372684722116,0.9857142857142858,939,458.0957382499473
Full,Leukemia,0,0.016721966635996267,0.9857142857142858,921,457.5323825420346
Full,Leukemia,7,0.01668836260351237,0.9857142857142858,909,457.9819110420067
Full,Leukemia,8,0.015815513861663376,0.9866666666666667,934,459.8133256669389
Full,Leukemia,9,0.015846317558106948,0.9866666666666667,945,460.07504350005183
Full,Leukemia,10,0.01577630915709883,0.9866666666666667,920,459.8749989999924
Full,Leukemia,11,0.016805976717206014,0.9857142857142858,951,460.9524277499877
Full,Leukemia,12,0.016649157898947824,0.9857142857142858,895,461.10038045805413
Full,Leukemia,14,0.016828379405528615,0.9857142857142858,959,461.2499785410473
Full,Leukemia,13,0.015837916549985974,0.9866666666666667,942,461.4973045840161
Full,Leukemia,15,0.016607152858342952,0.9857142857142858,880,461.43364637496416
Full,Leukemia,16,0.015826715205824675,0.9866666666666667,938,458.32315862504765
Full,Leukemia,17,0.016730367644117245,0.9857142857142858,924,458.2253010829445
Full,Leukemia,18,0.01661835420250425,0.9857142857142858,884,459.1918290419271
Full,Leukemia,19,0.016713565627875293,0.9857142857142858,918,459.7964665419422
Full,Leukemia,20,0.01669956394767367,0.9857142857142858,913,460.0521612080047
Full,Leukemia,22,0.016800376045125364,0.9857142857142858,949,459.8595341669861
Full,Leukemia,23,0.01574270512461493,0.9866666666666667,908,460.3085821249988
Full,Leukemia,21,0.016794775373044715,0.9857142857142858,947,460.6227017500205
Full,ColonCancer,0,0.11592653846153839,0.885897435897436,593,439.7479950420093
Full,ColonCancer,1,0.162638076923077,0.8384615384615384,543,439.78952358395327
Full,Leukemia,24,0.01674436932431887,0.9857142857142858,929,452.5342899999814
Full,Leukemia,25,0.016772372684722116,0.9857142857142858,939,452.8569284580881
Full,Leukemia,26,0.01674436932431887,0.9857142857142858,929,453.31962191697676
Full,Leukemia,27,0.01665195823498815,0.9857142857142858,896,453.151122167008
Full,Leukemia,28,0.016828379405528615,0.9857142857142858,959,454.0375984170241
Full,Leukemia,29,0.01664075689082685,0.9857142857142858,892,454.2268863749923
Full,ColonCancer,2,0.09934653846153844,0.9025641025641026,577,389.64243866701145
Full,ColonCancer,3,0.12854884615384626,0.873076923076923,579,389.7863499999512
Full,ColonCancer,5,0.14613307692307695,0.8551282051282051,542,387.5020124579314
Full,ColonCancer,4,0.08400076923076916,0.917948717948718,554,388.33671200007666
Full,ColonCancer,6,0.11436230769230762,0.8871794871794872,534,389.24589604197536
Full,ColonCancer,7,0.09662307692307691,0.9051282051282051,540,388.0459795839852
Full,ColonCancer,9,0.11313307692307686,0.8884615384615385,542,388.77227795904037
Full,ColonCancer,8,0.09806230769230768,0.9038461538461539,574,389.20369420794304
Full,ColonCancer,11,0.09669307692307691,0.9051282051282051,554,377.54765187506564
Full,ColonCancer,10,0.1296480769230768,0.8717948717948719,545,377.72012691607233
Full,ColonCancer,12,0.14610807692307695,0.8551282051282051,537,376.25692729104776
Full,ColonCancer,13,0.11573653846153839,0.885897435897436,555,376.2220317920437
Full,ColonCancer,14,0.09550384615384616,0.9064102564102564,570,377.40370525000617
Full,ColonCancer,15,0.11447230769230762,0.8871794871794872,556,376.89700379106216
Full,ColonCancer,16,0.11434730769230762,0.8871794871794872,531,378.22782416595146
Full,ColonCancer,17,0.11308307692307686,0.8884615384615385,532,378.85516729205847
Full,ColonCancer,18,0.11582153846153861,0.8858974358974357,572,393.59630016691517
