group,compared_with,p_value,ECL-SCSO_mean,other_mean,mark
BreastEW,AOA,0.01896664545505745,0.9484202805209673,0.9615439387433805,-
BreastEW,COA,0.718873326235798,0.9484202805209673,0.9488088593101477,=
BreastEW,GA,0.03682114583999357,0.9484202805209673,0.9398719049663663,+
BreastEW,GWO,0.11907656863331795,0.9484202805209673,0.9419182052382997,=
BreastEW,HHO,0.29417211478466565,0.9484202805209673,0.9113192357234865,=
BreastEW,OOA,0.7375046821246309,0.9484202805209673,0.9400021468441391,=
BreastEW,PSO,0.19092952087521553,0.9484202805209673,0.943670745670531,=
BreastEW,SCSO,0.12540825916695292,0.9484202805209673,0.958175898096465,=
BreastEW,SSA,0.308520769700408,0.9484202805209673,0.8214208530127379,=
BreastEW,WOA,0.11417667381465435,0.9484202805209673,0.9099592099613568,=
ColonCancer,AOA,0.5806317013445916,0.7726923076923078,0.7701282051282053,=
ColonCancer,COA,0.6650906075627044,0.7726923076923078,0.7762820512820514,=
ColonCancer,GA,0.000490817733850012,0.7726923076923078,0.749017094017094,+
ColonCancer,GWO,0.1824397928236059,0.7726923076923078,0.7647008547008547,=
ColonCancer,HHO,1.1772904943295295e-05,0.7726923076923078,0.38995726495726496,+
ColonCancer,OOA,3.1664807114176293e-06,0.7726923076923078,0.12051282051282053,+
ColonCancer,PSO,0.5590061135616096,0.7726923076923078,0.7689743589743592,=
ColonCancer,SCSO,0.12091226792267874,0.7726923076923078,0.781025641025641,=
ColonCancer,SSA,1.4920117834522899e-05,0.7726923076923078,0.2833333333333333,+
ColonCancer,WOA,3.875337092441361e-06,0.7726923076923078,0.2844871794871795,+
Diabetes,AOA,0.10634791697528832,0.7097623291740941,0.7291251450074979,=
Diabetes,COA,0.3492113798856735,0.7097623291740941,0.6989607560195796,=
Diabetes,GA,4.7124922275543213e-07,0.7097623291740941,0.6441776306482189,+
Diabetes,GWO,0.0018640067428350449,0.7097623291740941,0.656247347423818,+
Diabetes,HHO,0.019660815596580505,0.7097623291740941,0.6565642418583597,+
Diabetes,OOA,0.4771064817905426,0.7097623291740941,0.6934083128200774,=
Diabetes,PSO,0.007574619027472912,0.7097623291740941,0.673732846674023,+
