algorithm,prior_method,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
RG-SCSO-MI,mi,WDBC,2,0.023120633442012123,0.9806862288464524,12,30,336.0125082912855
RG-SCSO-MI,mi,WDBC,3,0.021368421052631523,0.9824561403508772,12,30,367.7800522497855
RG-SCSO-MI,mi,WDBC,4,0.026943021269989112,0.9771619313771154,13,30,370.74996979162097
RG-SCSO-MI,mi,WDBC,6,0.024175438596491294,0.9789473684210526,10,30,363.41128999972716
RG-SCSO-MI,mi,WDBC,8,0.027609687936655778,0.9771619313771154,15,30,381.44379504118115
RG-SCSO-MI,mi,WDBC,9,0.02378730010867879,0.9806862288464524,14,30,378.5159016251564
RG-SCSO-MI,mi,WDBC,7,0.024151374010246886,0.9806551777674274,15,30,421.13997799996287
RG-SCSO-MI,mi,WDBC,5,0.02653951249805939,0.9789163173420276,17,30,447.7577696670778
RG-SCSO-MI,mi,WDBC,10,0.02523691973296082,0.9788852662630025,13,30,376.8563177078031
RG-SCSO-MI,mi,WDBC,12,0.025958391554106657,0.9771464058376027,10,30,379.7022116673179
RG-SCSO-MI,mi,WDBC,11,0.02306582828753317,0.982425089271852,17,30,482.9500188329257
RG-SCSO-MI,mi,WDBC,13,0.023469337059462674,0.9806707033069401,13,30,422.43812262499705
RG-SCSO-MI,mi,WDBC,14,0.025260984319205006,0.9771774569166279,8,30,405.0222945827991
RG-SCSO-MI,mi,WDBC,16,0.024857475547275285,0.9789318428815401,12,30,414.15613708412275
RG-SCSO-MI,mi,WDBC,17,0.024206179164725835,0.9789163173420278,10,30,418.6000604997389
RG-SCSO-MI,mi,WDBC,15,0.02136842105263174,0.982456140350877,12,30,439.727202875074
RG-SCSO-MI,mi,WDBC,18,0.022787300108678788,0.9806862288464524,11,30,449.2119515831582
RG-SCSO-MI,mi,WDBC,19,0.021383791336748958,0.9824406148113647,12,30,445.5958714997396
RG-SCSO-MI,mi,WDBC,20,0.022469337059462784,0.98067070330694,10,30,448.3957151668146
RG-SCSO-MI,mi,WDBC,21,0.022802670392796116,0.98067070330694,11,30,440.0269893328659
RG-SCSO-MI,mi,WDBC,22,0.028059307560937913,0.9753609687936654,11,30,432.25214287498966
RG-SCSO-MI,mi,WDBC,23,0.02248470734358022,0.9806551777674274,10,30,431.62143829092383
RG-SCSO-MI,mi,WDBC,24,0.024554882782176712,0.9789007918025151,11,30,426.9832158340141
RG-SCSO-MI,mi,WDBC,25,0.02248470734358022,0.9806551777674274,10,30,508.1880851672031
RG-SCSO-MI,mi,WDBC,26,0.02419080888060862,0.9789318428815401,10,30,569.1986752501689
RG-SCSO-MI,mi,WDBC,27,0.024206179164725835,0.9789163173420278,10,30,735.8475614581257
RG-SCSO-MI,mi,WDBC,29,0.025958391554106657,0.9771464058376027,10,30,695.8312582499348
RG-SCSO-MI,mi,WDBC,28,0.02348470734358022,0.9806551777674274,13,30,754.2877752920613
RG-SCSO-MI,mi,ColonCancer,0,0.11570653846153839,0.885897435897436,549,2000,964.316532375291
RG-SCSO-MI,mi,ColonCancer,1,0.16157384615384615,0.8397435897435898,584,2000,957.639286166057
RG-SCSO-MI,mi,ColonCancer,2,0.08401076923076928,0.9179487179487179,556,2000,955.6305165421218
RG-SCSO-MI,mi,ColonCancer,3,0.12850884615384625,0.873076923076923,571,2000,871.4423804171383
RG-SCSO-MI,mi,ColonCancer,4,0.10053576923076922,0.9012820512820513,561,2000,707.7740447088145
RG-SCSO-MI,mi,ColonCancer,5,0.14621307692307695,0.8551282051282051,558,2000,734.7279063751921
RG-SCSO-MI,mi,ColonCancer,6,0.11465230769230762,0.8871794871794872,592,2000,914.854953000322
RG-SCSO-MI,mi,ColonCancer,7,0.09545384615384615,0.9064102564102564,560,2000,1143.557111165952
RG-SCSO-MI,mi,ColonCancer,8,0.12830384615384627,0.873076923076923,530,2000,1557.576084541157
RG-SCSO-MI,mi,ColonCancer,9,0.1158365384615384,0.885897435897436,575,2000,1566.6501470417716
RG-SCSO-MI,mi,ColonCancer,10,0.1157715384615384,0.885897435897436,562,2000,1575.857001000084
RG-SCSO-MI,mi,ColonCancer,11,0.11325807692307686,0.8884615384615385,567,2000,1587.0129783330485
RG-SCSO-MI,mi,ColonCancer,12,0.14622807692307696,0.8551282051282051,561,2000,1714.617393665947
RG-SCSO-MI,mi,ColonCancer,13,0.13088730769230777,0.8705128205128204,539,2000,1693.5280195418745
RG-SCSO-MI,mi,ColonCancer,14,0.09546384615384616,0.9064102564102564,562,2000,1516.5158790829591
RG-SCSO-MI,mi,ColonCancer,15,0.11434730769230762,0.8871794871794872,531,2000,1338.3898480832577
RG-SCSO-MI,mi,ColonCancer,16,0.11319807692307686,0.8884615384615385,555,2000,1341.7599408747628
RG-SCSO-MI,mi,ColonCancer,17,0.09809730769230769,0.9038461538461539,581,2000,1353.7309150411747
RG-SCSO-MI,mi,ColonCancer,18,0.1296380769230768,0.8717948717948719,543,2000,1360.8289380827919
RG-SCSO-MI,mi,ColonCancer,19,0.14764730769230774,0.8538461538461538,591,2000,1362.8927559158765
RG-SCSO-MI,mi,ColonCancer,20,0.13103730769230776,0.8705128205128204,569,2000,1370.910958332941
RG-SCSO-MI,mi,ColonCancer,21,0.11314307692307686,0.8884615384615385,544,2000,1341.2213148749433
RG-SCSO-MI,mi,ColonCancer,22,0.11454230769230762,0.8871794871794872,570,2000,1354.7246126658283
RG-SCSO-MI,mi,ColonCancer,23,0.1627930769230769,0.8384615384615385,574,2000,1377.3924232078716
RG-SCSO-MI,mi,ColonCancer,24,0.09929653846153845,0.9025641025641026,567,2000,1594.9710652497597
RG-SCSO-MI,mi,ColonCancer,25,0.09804230769230769,0.9038461538461539,570,2000,1593.609222207684
RG-SCSO-MI,mi,ColonCancer,26,0.09796730769230769,0.9038461538461539,555,2000,1597.4261120827869
RG-SCSO-MI,mi,ColonCancer,27,0.11471230769230761,0.8871794871794872,604,2000,1599.2886936669238
RG-SCSO-MI,mi,ColonCancer,28,0.16387230769230765,0.8371794871794872,536,2000,1604.8941285000183
RG-SCSO-MI,mi,ColonCancer,29,0.1298080769230768,0.8717948717948719,577,2000,1624.8651489578187
RG-SCSO-MI,mi,Leukemia,0,0.01673316798015757,0.9857142857142858,925,3571,1651.3052511247806
RG-SCSO-MI,mi,Leukemia,1,0.016831179741568936,0.9857142857142858,960,3571,1669.9878297918476
RG-SCSO-MI,mi,Leukemia,3,0.0158071128535424,0.9866666666666667,931,3571,1552.8970956252888
RG-SCSO-MI,mi,Leukemia,2,0.016772372684722116,0.9857142857142858,939,3571,1588.2021744162776
RG-SCSO-MI,mi,Leukemia,4,0.016679961595391396,0.9857142857142858,906,3571,1549.4948410410434
RG-SCSO-MI,mi,Leukemia,5,0.015790310837300453,0.9866666666666667,925,3571,1574.1492322082631
RG-SCSO-MI,mi,Leukemia,6,0.015826715205824675,0.9866666666666667,938,3571,1521.3815052499995
RG-SCSO-MI,mi,Leukemia,7,0.016833980077609265,0.9857142857142858,961,3571,1520.8940911660902
RG-SCSO-MI,mi,Leukemia,8,0.015930327639316694,0.9866666666666667,975,3571,1520.2871894999407
RG-SCSO-MI,mi,Leukemia,9,0.015706300756090707,0.9866666666666667,895,3571,1525.5413485825993
RG-SCSO-MI,mi,Leukemia,10,0.015891122934752144,0.9866666666666667,961,3571,1508.547571749892
RG-SCSO-MI,mi,Leukemia,11,0.016766772012641467,0.9857142857142858,937,3571,1510.8766207923181
RG-SCSO-MI,mi,Leukemia,12,0.01679197503700439,0.9857142857142858,946,3571,1511.0296775419265
RG-SCSO-MI,mi,Leukemia,13,0.015809913189582726,0.9866666666666667,932,3571,1508.3516936250962
RG-SCSO-MI,mi,Leukemia,14,0.016755570668480168,0.9857142857142858,933,3571,1511.2190437922254
RG-SCSO-MI,mi,Leukemia,15,0.016763971676601142,0.9857142857142858,936,3571,1505.3610970829614
RG-SCSO-MI,mi,Leukemia,16,0.0158183141977037,0.9866666666666667,935,3571,1529.7778369155712
RG-SCSO-MI,mi,Leukemia,17,0.01677517302076244,0.9857142857142858,940,3571,1504.9179038750008
RG-SCSO-MI,mi,Leukemia,18,0.016724766972036596,0.9857142857142858,922,3571,1502.6230297922157
RG-SCSO-MI,mi,Leukemia,19,0.01677517302076244,0.9857142857142858,940,3571,1505.5809732079506
RG-SCSO-MI,mi,Leukemia,20,0.016783574028883416,0.9857142857142858,943,3571,1502.2718978747725
RG-SCSO-MI,mi,Leukemia,21,0.01684798175781089,0.9857142857142858,966,3571,1511.0929721668363
RG-SCSO-MI,mi,Leukemia,22,0.016817178061367313,0.9857142857142858,955,3571,1512.6267267079093
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,0,0.026049999999999907,0.9800000000000001,10,16,111.55533195799217
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,1,0.03282500000000003,0.97,5,16,111.20037687476724
RG-SCSO-MI,mi,Leukemia,23,0.01581271352562305,0.9866666666666667,933,3571,1530.3622622918338
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,2,0.023549999999999908,0.9800000000000001,6,16,115.11261249985546
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,3,0.023857142857142792,0.980952380952381,8,16,116.45559033425525
RG-SCSO-MI,mi,Leukemia,24,0.016763971676601142,0.9857142857142858,936,3571,1547.795217833016
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,4,0.022453571428571514,0.9804761904761904,5,16,118.21106204204261
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,5,0.026049999999999907,0.9800000000000001,10,16,121.37677524983883
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,6,0.022924999999999907,0.9800000000000001,5,16,124.11447075009346
RG-SCSO-MI,mi,Leukemia,25,0.016856382765931863,0.9857142857142858,969,3571,1575.5539083750919
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,7,0.025578571428571402,0.9804761904761905,10,16,125.82004725001752
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,8,0.022924999999999907,0.9800000000000001,5,16,128.18027741694823
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,9,0.022924999999999907,0.9800000000000001,5,16,132.031484792009
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,10,0.02479999999999991,0.9800000000000001,8,16,133.28522445913404
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,11,0.02417499999999991,0.9800000000000001,7,16,132.92581383278593
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,12,0.022924999999999907,0.9800000000000001,5,16,134.3061510832049
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,13,0.025424999999999906,0.9800000000000001,9,16,133.23275583377108
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,14,0.026049999999999907,0.9800000000000001,10,16,133.9950961251743
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,15,0.022453571428571403,0.9804761904761905,5,16,133.20579312508926
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,16,0.026049999999999907,0.9800000000000001,10,16,133.69288554228842
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,17,0.022924999999999907,0.9800000000000001,5,16,132.79257579194382
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,18,0.025424999999999906,0.9800000000000001,9,16,133.95938179083169
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,19,0.03345000000000002,0.97,6,16,133.75485887518153
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,20,0.01490000000000001,0.99,8,16,134.3040354582481
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,21,0.022924999999999907,0.9800000000000001,5,16,132.8996807918884
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,22,0.01615000000000001,0.99,10,16,134.68630350008607
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,23,0.025424999999999906,0.9800000000000001,9,16,133.94001683266833
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,24,0.023549999999999908,0.9800000000000001,6,16,135.25147783290595
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,25,0.025424999999999906,0.9800000000000001,9,16,133.51963312504813
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,26,0.02417499999999991,0.9800000000000001,7,16,133.8518890417181
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,27,0.023078571428571403,0.9804761904761905,6,16,132.3232948333025
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,28,0.02417499999999991,0.9800000000000001,7,16,125.764311874751
RG-SCSO-ShuffledMI,shuffled_mi,Zoo,29,0.022924999999999907,0.9800000000000001,5,16,117.78517187479883
RG-SCSO-MI,mi,Leukemia,26,0.016761171340560817,0.9857142857142858,935,3571,1830.1297715408728
RG-SCSO-MI,mi,Leukemia,27,0.01677517302076244,0.9857142857142858,940,3571,1830.158511375077
RG-SCSO-MI,mi,Leukemia,28,0.01679757570908504,0.9857142857142858,948,3571,1828.6903023342602
RG-SCSO-MI,mi,Leukemia,29,0.016741568988278544,0.9857142857142858,928,3571,1815.0167217087
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,0,0.11711440185830437,0.8849012775842043,19,60,995.602770708967
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,1,0.10320150987224164,0.8989547038327526,19,60,1078.2276272918098
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,3,0.11213008130081303,0.8894308943089431,16,60,1035.6091781659052
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,2,0.09304297328687577,0.9087108013937282,16,60,1116.153240500018
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,7,0.12633623693379792,0.8749128919860627,15,60,889.3320123748854
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,4,0.12093205574912894,0.8803716608594657,15,60,1006.078906416893
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,6,0.10354645760743333,0.8986062717770034,19,60,1003.5373399578966
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,5,0.12751451800232297,0.8745644599303135,20,60,1136.0723780416884
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,8,0.10253484320557497,0.8989547038327526,15,60,1134.0523102921434
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,9,0.11330836236933807,0.8890824622531939,21,60,1136.2642723331228
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,10,0.1120150987224158,0.8895470383275261,16,60,1151.4335949160159
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,11,0.11717770034843207,0.8846689895470383,18,60,1156.2417421252467
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,12,0.10691579558652733,0.8941927990708478,13,60,1086.460336707998
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,13,0.12162195121951223,0.8796747967479674,15,60,1105.9075304172002
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,14,0.10785249709639953,0.8944250871080139,20,60,1161.8541221660562
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,15,0.0988722415795587,0.9038327526132404,22,60,1164.9334435001947
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,16,0.11761440185830425,0.8849012775842044,22,60,1053.9635798749514
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,17,0.10240824622531935,0.8994192799070848,17,60,1078.5394993340597
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,18,0.09832055749128928,0.9037166085946573,18,60,1150.8859612499364
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,20,0.10781242740998846,0.8939605110336817,17,60,1053.4797853748314
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,19,0.12599128919860633,0.8752613240418118,15,60,1147.6892313747667
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,21,0.11303832752613253,0.8888501742160277,18,60,1223.0943769589067
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,22,0.11661440185830425,0.8849012775842044,16,60,1174.7888574171811
RG-SCSO-ShuffledMI,shuffled_mi,Sonar,23,0.12284030197444833,0.8797909407665505,23,60,1114.1568593750708
