config,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
bPSO-TVT,IonosphereEW,3,0.07540248550124279,0.9259154929577464,7,34,284.3131217909977
bPSO-TVT,IonosphereEW,2,0.07544232453544805,0.9258752515090543,7,34,314.1166896249633
bPSO-TVT,IonosphereEW,0,0.07591104272694978,0.9259959758551309,9,34,351.3767359170597
bPSO-TVT,IonosphereEW,1,0.08131390697123915,0.920241448692153,8,34,344.10988058289513
bPSO-TVT,IonosphereEW,4,0.08051123209847333,0.9201609657947685,5,34,333.3382450421341
bPSO-TVT,IonosphereEW,7,0.08451627411527997,0.9173038229376257,9,34,299.95793445804156
bPSO-TVT,IonosphereEW,6,0.08359408213989825,0.9173440643863179,6,34,309.6101526671555
bPSO-TVT,IonosphereEW,8,0.07777758314593446,0.9232193158953722,6,34,255.64152608299628
bPSO-TVT,IonosphereEW,5,0.09490145579358515,0.9088933601609657,16,34,413.16883204178885
bPSO-TVT,IonosphereEW,9,0.07803186175878801,0.9232595573440644,7,34,276.64630450005643
bPSO-TVT,IonosphereEW,11,0.07823105692981425,0.9230583501006036,7,34,312.4782195419539
bPSO-TVT,IonosphereEW,10,0.08722532844123551,0.9145674044265595,9,34,367.08962208312005
bPSO-TVT,IonosphereEW,14,0.08072567167712151,0.920241448692153,6,34,270.65469412505627
bPSO-TVT,IonosphereEW,12,0.08109946739259076,0.9201609657947687,7,34,346.6835597921163
bPSO-TVT,IonosphereEW,13,0.07173140016570023,0.928732394366197,4,34,328.60946987499483
bPSO-TVT,IonosphereEW,15,0.08164786365250323,0.9202012072434608,9,34,301.85118266684003
bPSO-TVT,IonosphereEW,16,0.07852517457687284,0.9230583501006038,8,34,313.3621431249194
bPSO-TVT,IonosphereEW,17,0.07265359214108164,0.9286921529175052,7,34,322.11837491602637
bPSO-TVT,IonosphereEW,18,0.07294770978814046,0.9286921529175052,8,34,326.7193627078086
bPSO-TVT,IonosphereEW,19,0.0791134098709905,0.9230583501006038,10,34,339.20975674991496
bPSO-TVT,IonosphereEW,20,0.07532280743283236,0.9259959758551307,7,34,300.7303384169936
bPSO-TVT,IonosphereEW,21,0.06986485974671566,0.9315090543259557,7,34,298.84768491704017
bPSO-TVT,IonosphereEW,24,0.06966566457568932,0.9317102615694166,7,34,282.47693766700104
bPSO-TVT,IonosphereEW,22,0.07607039886377086,0.9258350100603622,9,34,362.8737236659508
bPSO-TVT,IonosphereEW,23,0.07548216356965322,0.9258350100603622,7,34,327.35349633404985
