config,mean_acc,mean_nfeat,mean_fit,friedman_rank_fit
RG-SCSO,0.9009353941053819,91.29814814814814,0.10215136520167872,3.4444444444444446
bPSO-TVT,0.9077134655898771,123.26666666666665,0.09610189957982179,2.7777777777777777
bGWO-TVT,0.8997937468742518,157.23703703703708,0.10421546960877648,3.6944444444444446
bPSO-V4,0.9116150337833999,124.18333333333334,0.09212720275986665,1.3888888888888888
bGWO-V4,0.9001022216347292,158.9925925925926,0.1039130902089479,3.6944444444444446
