algorithm,dataset,run_id,fitness,accuracy,n_selected_features,n_total_features,runtime_seconds
bSCSO-OBL,KrVsKpEW,17,0.05034120347082505,0.9546337050078246,19,35,1739.4037945829332
bSCSO-OBL,KrVsKpEW,18,0.051277559104627786,0.9536878912363067,19,35,1736.17641012487
bSCSO-OBL,KrVsKpEW,19,0.05825267228370218,0.9483739241001565,25,35,1731.803247041069
bSCSO-OBL,KrVsKpEW,20,0.05291956111670022,0.9508749021909233,15,35,1739.006318333093
bSCSO-OBL,KrVsKpEW,21,0.05375207494969816,0.9511883802816902,19,35,1734.057937958045
bSCSO-OBL,KrVsKpEW,22,0.05184414612676069,0.9536927816901407,21,35,1732.302187290974
bSCSO-OBL,KrVsKpEW,23,0.05446934104627771,0.9493094679186228,15,35,1735.5076650830451
bSCSO-OBL,Leukemia,0,0.018911829419530294,0.9857142857142858,1703,3571,567.3873401249293
bSCSO-OBL,Leukemia,1,0.018833420010401197,0.9857142857142858,1675,3571,568.6615422919858
bSCSO-OBL,KrVsKpEW,24,0.04910660840040243,0.9558807707355242,19,35,1672.6472178751137
bSCSO-OBL,Leukemia,2,0.01891462975557062,0.9857142857142858,1704,3571,567.7890353749972
bSCSO-OBL,KrVsKpEW,25,0.04910418762575465,0.9558832159624412,19,35,1675.7903510001488
bSCSO-OBL,Leukemia,3,0.018019378325399023,0.9866666666666667,1721,3571,568.3560740000103
bSCSO-OBL,KrVsKpEW,26,0.05063224346076457,0.9546283255086072,20,35,1651.4221068751067
bSCSO-OBL,KrVsKpEW,27,0.050653967555331914,0.9543177816901409,19,35,1647.406098625157
bSCSO-OBL,KrVsKpEW,28,0.05230226358148908,0.9514984350547729,15,35,1617.8419162910432
bSCSO-OBL,KrVsKpEW,29,0.04908101106639835,0.9561952269170579,20,35,1618.6754272091202
bSCSO-OBL,Leukemia,4,0.01889222706724802,0.9857142857142858,1696,3571,521.58818074991
bSCSO-OBL,Leukemia,5,0.01789056286754408,0.9866666666666667,1675,3571,518.7846586250234
bSCSO-OBL,Leukemia,6,0.01790736488378603,0.9866666666666667,1681,3571,520.8411619171966
bSCSO-OBL,Leukemia,7,0.01874660959315113,0.9857142857142858,1644,3571,519.359877333045
bSCSO-OBL,Leukemia,9,0.018002576309157074,0.9866666666666667,1715,3571,595.1862030420452
bSCSO-OBL,Leukemia,8,0.017996975637076425,0.9866666666666667,1713,3571,596.6437772500794
bSCSO-OBL,Leukemia,10,0.01799977597311675,0.9866666666666667,1714,3571,631.9349453751929
bSCSO-OBL,Leukemia,11,0.018998639836780365,0.9857142857142858,1734,3571,638.8721214579418
bSCSO-OBL,Leukemia,13,0.017870960515261807,0.9866666666666667,1668,3571,655.7992730408441
bSCSO-OBL,Leukemia,12,0.018808216986038274,0.9857142857142858,1666,3571,657.6077041670214
bSCSO-OBL,Leukemia,14,0.019121854622554658,0.9857142857142858,1778,3571,657.058730292134
bSCSO-OBL,Leukemia,15,0.01886422370684477,0.9857142857142858,1686,3571,661.5377525831573
bSCSO-OBL,Leukemia,16,0.01805858302996357,0.9866666666666667,1735,3571,620.1456488750409
bSCSO-OBL,Leukemia,17,0.01901264151698199,0.9857142857142858,1739,3571,619.3208077498712
bSCSO-OBL,Leukemia,18,0.018861423370804445,0.9857142857142858,1685,3571,631.3156522910576
bSCSO-OBL,Leukemia,19,0.018872624714965744,0.9857142857142858,1689,3571,647.1347249590326
bSCSO-OBL,Leukemia,20,0.018881025723086718,0.9857142857142858,1692,3571,675.7710831661243
bSCSO-OBL,Leukemia,21,0.018855822698723795,0.9857142857142858,1683,3571,676.2412607499864
bSCSO-OBL,Leukemia,22,0.018981837820538413,0.9857142857142858,1728,3571,681.588170915842
bSCSO-OBL,Leukemia,23,0.017938168580229605,0.9866666666666667,1692,3571,708.1104917500634
bSCSO-OBL,Lymphography,0,0.11755478927203071,0.8857471264367816,8,18,187.26870679087006
bSCSO-OBL,Lymphography,1,0.14159846743295015,0.8648275862068966,14,18,186.35284462501295
bSCSO-OBL,Leukemia,24,0.01881661799415925,0.9857142857142858,1669,3571,745.5801459159702
bSCSO-OBL,Leukemia,25,0.019077049245909458,0.9857142857142858,1762,3571,746.0213752500713
bSCSO-OBL,Lymphography,2,0.13310421455938704,0.8717241379310344,11,18,170.2088060840033
bSCSO-OBL,Lymphography,3,0.11428812260536389,0.8924137931034484,14,18,150.42809199984185
bSCSO-OBL,Lymphography,4,0.14675938697318006,0.8579310344827586,11,18,149.73850591597147
bSCSO-OBL,Lymphography,5,0.1207609195402298,0.8864367816091955,15,18,149.57972233300097
bSCSO-OBL,Leukemia,26,0.018825019002280223,0.9857142857142858,1672,3571,688.9822323750705
bSCSO-OBL,Lymphography,6,0.13212030651340992,0.8710344827586207,8,18,150.05957183404826
bSCSO-OBL,Leukemia,27,0.01885862303476412,0.9857142857142858,1684,3571,673.260477792006
bSCSO-OBL,Lymphography,7,0.12839846743295005,0.87816091954023,14,18,153.57417412498035
bSCSO-OBL,Leukemia,28,0.01886982437892542,0.9857142857142858,1688,3571,627.8606327080633
bSCSO-OBL,Lymphography,8,0.12438237547892728,0.8788505747126436,8,18,162.54077962506562
bSCSO-OBL,Lymphography,9,0.13950344827586206,0.8641379310344828,9,18,163.60530270799063
bSCSO-OBL,Leukemia,29,0.018830619674360873,0.9857142857142858,1674,3571,630.43409758294
bSCSO-OBL,Lymphography,10,0.13869348659003836,0.8655172413793103,10,18,172.7516861660406
bSCSO-OBL,Lymphography,11,0.12738773946360146,0.8786206896551725,13,18,176.2706892080605
bSCSO-OBL,Lymphography,12,0.14159846743295015,0.8648275862068966,14,18,173.9798247499857
bSCSO-OBL,Lymphography,13,0.13131034482758625,0.8724137931034482,9,18,176.8278567090165
bSCSO-OBL,Lymphography,14,0.13869348659003836,0.8655172413793103,10,18,186.51895966706797
bSCSO-OBL,Lymphography,15,0.13914865900383142,0.8650574712643678,10,18,184.6346353329718
bSCSO-OBL,Lymphography,16,0.13131034482758625,0.8724137931034482,9,18,184.98515191697516
bSCSO-OBL,Lymphography,17,0.13892107279693489,0.8652873563218391,10,18,186.58185891597532
bSCSO-OBL,Lymphography,18,0.1372544061302682,0.8652873563218391,7,18,186.59416866698302
bSCSO-OBL,Lymphography,19,0.13019923371647502,0.8724137931034484,7,18,186.96233720798045
bSCSO-OBL,Lymphography,20,0.13431570881226054,0.872183908045977,14,18,186.24708216590807
bSCSO-OBL,Lymphography,21,0.1335593869731801,0.871264367816092,11,18,187.78109041694552
bSCSO-OBL,Lymphography,22,0.13924904214559392,0.8655172413793103,11,18,181.6576823340729
bSCSO-OBL,Lymphography,24,0.1381379310344828,0.8655172413793103,9,18,182.14621249982156
bSCSO-OBL,Lymphography,23,0.13333180076628334,0.8714942528735634,11,18,184.23046075017191
bSCSO-OBL,Lymphography,25,0.13075478927203069,0.8724137931034482,8,18,184.64407525002025
bSCSO-OBL,Lymphography,26,0.1336865900383142,0.8705747126436781,10,18,179.0552032920532
bSCSO-OBL,Lymphography,27,0.13937624521072794,0.8648275862068966,10,18,178.0523336250335
bSCSO-OBL,Lymphography,28,0.13222068965517245,0.8714942528735632,9,18,177.81612687488087
bSCSO-OBL,Lymphography,29,0.13290344827586212,0.8708045977011494,9,18,179.2526455000043
bSCSO-OBL,M-of-n,0,0.004615384615384616,1.0,6,13,528.0845773331821
bSCSO-OBL,M-of-n,2,0.004615384615384616,1.0,6,13,531.1856837500818
bSCSO-OBL,M-of-n,1,0.01132461538461539,0.994,7,13,531.7668482500594
bSCSO-OBL,M-of-n,3,0.004615384615384616,1.0,6,13,533.4612765829079
bSCSO-OBL,M-of-n,4,0.01132461538461539,0.994,7,13,535.2502677498851
bSCSO-OBL,M-of-n,5,0.004615384615384616,1.0,6,13,540.8185095000081
bSCSO-OBL,M-of-n,6,0.004615384615384616,1.0,6,13,536.4081536249723
bSCSO-OBL,M-of-n,7,0.004615384615384616,1.0,6,13,545.8203862919472
bSCSO-OBL,M-of-n,8,0.018254615384615286,0.9870000000000001,7,13,530.6429008329287
bSCSO-OBL,M-of-n,9,0.004615384615384616,1.0,6,13,533.8407756669912
bSCSO-OBL,M-of-n,10,0.004615384615384616,1.0,6,13,534.4610938751139
bSCSO-OBL,M-of-n,11,0.004615384615384616,1.0,6,13,535.6878012500238
bSCSO-OBL,M-of-n,12,0.004615384615384616,1.0,6,13,528.091213334119
bSCSO-OBL,M-of-n,13,0.01330461538461539,0.992,7,13,531.5701427501626
bSCSO-OBL,M-of-n,14,0.004615384615384616,1.0,6,13,530.784196165856
bSCSO-OBL,M-of-n,15,0.004615384615384616,1.0,6,13,532.1963783751708
bSCSO-OBL,M-of-n,16,0.004615384615384616,1.0,6,13,535.1919572500046
bSCSO-OBL,M-of-n,17,0.004615384615384616,1.0,6,13,531.5317015419714
bSCSO-OBL,M-of-n,18,0.004615384615384616,1.0,6,13,535.1458516670391
bSCSO-OBL,M-of-n,19,0.014294615384615392,0.991,7,13,539.1400400830898
bSCSO-OBL,M-of-n,20,0.004615384615384616,1.0,6,13,534.5755585001316
bSCSO-OBL,M-of-n,21,0.004615384615384616,1.0,6,13,539.0890579589177
bSCSO-OBL,M-of-n,22,0.004615384615384616,1.0,6,13,535.5097377500497
bSCSO-OBL,M-of-n,23,0.004615384615384616,1.0,6,13,543.1734022921883
bSCSO-OBL,Parkinsons,0,0.049328671328671386,0.9538461538461538,8,22,225.87246266705915
bSCSO-OBL,Parkinsons,1,0.04561538461538469,0.9589743589743589,11,22,226.05359749984927
bSCSO-OBL,Parkinsons,2,0.0548601398601399,0.9487179487179487,9,22,209.67697016708553
bSCSO-OBL,M-of-n,24,0.004615384615384616,1.0,6,13,525.5540871249977
bSCSO-OBL,M-of-n,25,0.004615384615384616,1.0,6,13,526.3801961250138
