algorithm,dataset,run_id,accuracy,n_selected_features,target_k
ConcreteAE,GermanCredit,3,0.653,8,8
ConcreteAE,GermanCredit,4,0.711,8,8
ConcreteAE,GermanCredit,5,0.669,8,8
ConcreteAE,GermanCredit,6,0.652,7,8
ConcreteAE,GermanCredit,7,0.7030000000000001,6,8
ConcreteAE,GermanCredit,8,0.688,7,8
ConcreteAE,GermanCredit,9,0.672,6,8
ConcreteAE,GermanCredit,10,0.7070000000000001,8,8
ConcreteAE,GermanCredit,11,0.712,7,8
ConcreteAE,GermanCredit,12,0.688,8,8
ConcreteAE,GermanCredit,13,0.704,7,8
ConcreteAE,GermanCredit,14,0.68,7,8
ConcreteAE,GermanCredit,15,0.7070000000000001,7,8
ConcreteAE,GermanCredit,16,0.6859999999999999,7,8
ConcreteAE,GermanCredit,17,0.6890000000000002,7,8
ConcreteAE,GermanCredit,18,0.691,7,8
ConcreteAE,GermanCredit,19,0.713,6,8
ConcreteAE,GermanCredit,20,0.648,6,8
ConcreteAE,GermanCredit,21,0.6940000000000001,8,8
ConcreteAE,GermanCredit,22,0.709,7,8
ConcreteAE,GermanCredit,23,0.7289999999999999,6,8
ConcreteAE,GermanCredit,24,0.6890000000000001,6,8
ConcreteAE,GermanCredit,25,0.6859999999999999,8,8
ConcreteAE,GermanCredit,26,0.7089999999999999,7,8
ConcreteAE,GermanCredit,27,0.695,7,8
ConcreteAE,GermanCredit,28,0.7129999999999999,6,8
ConcreteAE,GermanCredit,29,0.6610000000000001,6,8
ConcreteAE,HeartDisease,0,0.801129943502825,5,5
ConcreteAE,HeartDisease,1,0.7272881355932204,4,5
ConcreteAE,HeartDisease,2,0.727457627118644,4,5
ConcreteAE,HeartDisease,3,0.7781920903954802,5,5
ConcreteAE,HeartDisease,4,0.733954802259887,4,5
ConcreteAE,HeartDisease,5,0.6968926553672316,5,5
ConcreteAE,HeartDisease,6,0.7238418079096045,5,5
ConcreteAE,HeartDisease,7,0.8186440677966103,5,5
ConcreteAE,HeartDisease,8,0.7642372881355932,5,5
ConcreteAE,HeartDisease,9,0.7545197740112994,5,5
ConcreteAE,HeartDisease,10,0.7474011299435027,4,5
ConcreteAE,HeartDisease,11,0.713728813559322,5,5
ConcreteAE,HeartDisease,12,0.8048022598870057,5,5
ConcreteAE,HeartDisease,13,0.7172881355932204,5,5
ConcreteAE,HeartDisease,14,0.7642937853107344,5,5
ConcreteAE,HeartDisease,15,0.723954802259887,4,5
ConcreteAE,HeartDisease,16,0.7271751412429378,4,5
ConcreteAE,HeartDisease,17,0.7781920903954802,4,5
ConcreteAE,HeartDisease,18,0.8081920903954802,5,5
ConcreteAE,HeartDisease,19,0.7810734463276836,5,5
ConcreteAE,HeartDisease,20,0.7845197740112995,5,5
ConcreteAE,HeartDisease,21,0.7712994350282486,4,5
ConcreteAE,HeartDisease,22,0.7436723163841809,5,5
ConcreteAE,HeartDisease,23,0.7338418079096045,5,5
ConcreteAE,HeartDisease,24,0.7577966101694915,5,5
ConcreteAE,HeartDisease,25,0.7406779661016949,5,5
ConcreteAE,HeartDisease,26,0.6805084745762711,5,5
ConcreteAE,HeartDisease,27,0.7441242937853108,5,5
ConcreteAE,HeartDisease,28,0.7646327683615819,5,5
ConcreteAE,HeartDisease,29,0.777909604519774,5,5
ConcreteAE,IonosphereEW,0,0.8718309859154928,8,8
ConcreteAE,IonosphereEW,1,0.8717907444668007,8,8
ConcreteAE,IonosphereEW,2,0.8576659959758551,8,8
ConcreteAE,IonosphereEW,3,0.8746076458752515,7,8
ConcreteAE,IonosphereEW,4,0.8490945674044266,7,8
ConcreteAE,IonosphereEW,5,0.8720724346076458,7,8
ConcreteAE,IonosphereEW,6,0.8661167002012071,7,8
ConcreteAE,IonosphereEW,7,0.8602012072434608,7,8
ConcreteAE,IonosphereEW,8,0.9004024144869215,8,8
ConcreteAE,IonosphereEW,9,0.8519517102615695,8,8
ConcreteAE,IonosphereEW,10,0.8719114688128773,7,8
ConcreteAE,IonosphereEW,11,0.86317907444668,8,8
ConcreteAE,IonosphereEW,12,0.8688531187122737,7,8
ConcreteAE,IonosphereEW,13,0.8744869215291751,8,8
ConcreteAE,IonosphereEW,14,0.8288933601609658,7,8
ConcreteAE,IonosphereEW,15,0.8689336016096579,8,8
ConcreteAE,IonosphereEW,16,0.8490140845070421,7,8
ConcreteAE,IonosphereEW,17,0.8632193158953723,7,8
ConcreteAE,IonosphereEW,18,0.8745674044265594,7,8
ConcreteAE,IonosphereEW,19,0.8403621730382292,8,8
ConcreteAE,IonosphereEW,20,0.857625754527163,7,8
ConcreteAE,IonosphereEW,21,0.8719114688128773,8,8
ConcreteAE,IonosphereEW,22,0.8403621730382292,7,8
ConcreteAE,IonosphereEW,23,0.8745674044265593,6,8
ConcreteAE,IonosphereEW,24,0.877625754527163,7,8
ConcreteAE,IonosphereEW,25,0.8804426559356138,6,8
ConcreteAE,IonosphereEW,26,0.8490140845070423,8,8
ConcreteAE,IonosphereEW,27,0.86897384305835,5,8
ConcreteAE,IonosphereEW,28,0.8318712273641852,7,8
ConcreteAE,IonosphereEW,29,0.840523138832998,8,8
ConcreteAE,KrVsKpEW,0,0.6617634976525821,10,15
ConcreteAE,KrVsKpEW,1,0.590105633802817,10,15
ConcreteAE,KrVsKpEW,2,0.5772882433489828,10,15
ConcreteAE,KrVsKpEW,3,0.6157751369327074,12,15
ConcreteAE,KrVsKpEW,4,0.5735318857589985,11,15
ConcreteAE,KrVsKpEW,5,0.5722794405320814,12,15
ConcreteAE,KrVsKpEW,6,0.7033890845070423,12,15
ConcreteAE,KrVsKpEW,7,0.581977210485133,12,15
ConcreteAE,KrVsKpEW,8,0.6192028560250391,12,15
ConcreteAE,KrVsKpEW,9,0.6085739436619717,15,15
ConcreteAE,KrVsKpEW,10,0.5913639475743349,11,15
ConcreteAE,KrVsKpEW,11,0.5932433489827856,11,15
ConcreteAE,KrVsKpEW,12,0.616712147887324,12,15
ConcreteAE,KrVsKpEW,13,0.5957457942097026,11,15
ConcreteAE,KrVsKpEW,14,0.5919953051643192,11,15
ConcreteAE,KrVsKpEW,15,0.6739715375586854,14,15
ConcreteAE,KrVsKpEW,16,0.5835426447574334,13,15
ConcreteAE,KrVsKpEW,17,0.5994977503912364,13,15
ConcreteAE,KrVsKpEW,18,0.5851090571205008,9,15
ConcreteAE,KrVsKpEW,19,0.6163923122065728,12,15
ConcreteAE,KrVsKpEW,20,0.6045031298904538,11,15
ConcreteAE,KrVsKpEW,21,0.7991206964006261,14,15
ConcreteAE,KrVsKpEW,22,0.6142033450704225,14,15
ConcreteAE,KrVsKpEW,23,0.6020011737089201,11,15
ConcreteAE,KrVsKpEW,24,0.6320407863849764,12,15
ConcreteAE,KrVsKpEW,25,0.5882389475743349,10,15
ConcreteAE,KrVsKpEW,26,0.6148337245696401,9,15
ConcreteAE,KrVsKpEW,27,0.6223391040688576,14,15
ConcreteAE,KrVsKpEW,28,0.61202122456964,10,15
ConcreteAE,KrVsKpEW,29,0.5710245500782473,12,15
ConcreteAE,Leukemia,0,0.9152380952380952,429,940
ConcreteAE,Leukemia,1,0.8742857142857142,421,940
ConcreteAE,Leukemia,2,0.8733333333333333,417,940
ConcreteAE,Leukemia,3,0.9038095238095238,430,940
ConcreteAE,Leukemia,4,0.8609523809523809,437,940
ConcreteAE,Leukemia,5,0.9161904761904763,422,940
ConcreteAE,Leukemia,6,0.9457142857142857,400,940
ConcreteAE,Leukemia,7,0.8752380952380954,413,940
ConcreteAE,Leukemia,8,0.9019047619047619,424,940
ConcreteAE,Leukemia,9,0.8885714285714285,427,940
ConcreteAE,Leukemia,10,0.8895238095238096,414,940
ConcreteAE,Leukemia,11,0.917142857142857,440,940
ConcreteAE,Leukemia,12,0.9171428571428573,405,940
ConcreteAE,Leukemia,13,0.9028571428571428,439,940
ConcreteAE,Leukemia,14,0.8895238095238096,404,940
ConcreteAE,Leukemia,15,0.8876190476190475,414,940
ConcreteAE,Leukemia,16,0.903809523809524,423,940
ConcreteAE,Leukemia,17,0.86,416,940
ConcreteAE,Leukemia,18,0.8619047619047618,387,940
ConcreteAE,Leukemia,19,0.917142857142857,435,940
ConcreteAE,Leukemia,20,0.9304761904761906,420,940
ConcreteAE,Leukemia,21,0.8495238095238096,404,940
ConcreteAE,Leukemia,22,0.9028571428571428,414,940
ConcreteAE,Leukemia,23,0.8752380952380954,415,940
ConcreteAE,Leukemia,24,0.9304761904761906,442,940
ConcreteAE,Leukemia,25,0.8200000000000001,386,940
ConcreteAE,Leukemia,26,0.8752380952380954,418,940
ConcreteAE,Leukemia,27,0.8866666666666667,424,940
ConcreteAE,Leukemia,28,0.9161904761904761,392,940
ConcreteAE,Leukemia,29,0.8742857142857142,447,940
ConcreteAE,Lymphography,0,0.839080459770115,8,8
ConcreteAE,Lymphography,1,0.7767816091954023,8,8
ConcreteAE,Lymphography,2,0.7501149425287357,7,8
ConcreteAE,Lymphography,3,0.7367816091954023,8,8
ConcreteAE,Lymphography,4,0.8114942528735632,8,8
ConcreteAE,Lymphography,5,0.7372413793103448,7,8
ConcreteAE,Lymphography,6,0.7289655172413793,6,8
ConcreteAE,Lymphography,7,0.7774712643678161,8,8
ConcreteAE,Lymphography,8,0.756551724137931,6,8
ConcreteAE,Lymphography,9,0.769655172413793,5,8
ConcreteAE,Lymphography,10,0.7636781609195402,7,8
ConcreteAE,Lymphography,11,0.8374712643678162,7,8
ConcreteAE,Lymphography,12,0.7908045977011493,8,8
ConcreteAE,Lymphography,13,0.7701149425287357,7,8
ConcreteAE,Lymphography,14,0.7365517241379311,6,8
ConcreteAE,Lymphography,15,0.7708045977011494,8,8
ConcreteAE,Lymphography,16,0.7363218390804598,6,8
ConcreteAE,Lymphography,17,0.8241379310344827,6,8
ConcreteAE,Lymphography,18,0.7239080459770115,7,8
ConcreteAE,Lymphography,19,0.7358620689655172,8,8
ConcreteAE,Lymphography,20,0.7981609195402298,6,8
ConcreteAE,Lymphography,21,0.8174712643678161,8,8
ConcreteAE,Lymphography,22,0.771264367816092,7,8
ConcreteAE,Lymphography,23,0.7703448275862068,7,8
ConcreteAE,Lymphography,24,0.7232183908045977,6,8
ConcreteAE,Lymphography,25,0.7703448275862068,6,8
ConcreteAE,Lymphography,26,0.8105747126436782,7,8
ConcreteAE,Lymphography,27,0.7367816091954023,7,8
ConcreteAE,Lymphography,28,0.7496551724137931,7,8
